activityId,activityName,activityType,processInstanceId,taskId,assignee,startTime,endTime,durationInMillis,tenantId
Activity_1jro9wu,Inform Customer,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,441ecca6-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:04:20.20,2020-12-16 22:04:54.54,33430,demo
Activity_1jro9wu,Inform Customer,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,21d7511f-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:05:35.35,2020-12-16 22:05:49.49,6950,demo
Activity_1jro9wu,Inform Customer,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,278d83af-3f19-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:04:44.44,2020-12-15 22:05:09.09,25177,demo
Activity_1ma7sux,Assess order,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,533fb8cf-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:37:19.19,2020-12-15 21:38:12.12,53612,demo
Activity_1ma7sux,Assess order,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,a2dde885-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:14:09.09,2020-12-16 22:14:44.44,35135,demo
Activity_1ma7sux,Assess order,userTask,83468421-3fe1-11eb-9139-ae3f3df38a4e,9e500d67-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 21:59:42.42,2020-12-16 22:00:30.30,48218,demo
Activity_1ma7sux,Assess order,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,33b41d58-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:11:02.02,2020-12-16 22:11:17.17,14975,demo
Activity_1ma7sux,Assess order,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,dbed378c-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:01:25.25,2020-12-16 22:01:33.33,7902,demo
Activity_1ma7sux,Assess order,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,6f13695b-3f18-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:59:34.34,2020-12-15 22:00:17.17,42681,demo
Activity_1s26q3u,Calculate Price and Working hours,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,e22fc77c-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:15:55.55,2020-12-16 22:16:16.16,20860,demo
Activity_1s26q3u,Calculate Price and Working hours,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,0ccea55d-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:02:47.47,2020-12-16 22:03:00.00,12343,demo
Activity_1vamgl3,Complete billing,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,ddf7f516-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:41:12.12,2020-12-15 21:41:59.59,46969,demo
Activity_1vamgl3,Complete billing,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,1d4ac507-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:03:15.15,2020-12-16 22:03:23.23,7628,demo
Activity_1vamgl3,Complete billing,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,0d2b0ef7-3f19-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:03:59.59,2020-12-15 22:04:44.44,44262,demo
Activity_1xuqnmu,Generate CleanLab Production Protocol,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,d1d38be7-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:15:28.28,2020-12-16 22:15:55.55,27443,demo
Activity_1xuqnmu,Generate CleanLab Production Protocol,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,015c8018-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:02:28.28,2020-12-16 22:02:47.47,19190,demo
Event_0zbbwzq,Order fullfilled,noneEndEvent,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:43:00.00,2020-12-15 21:43:00.00,0,demo
Event_0zbbwzq,Order fullfilled,noneEndEvent,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:17:02.02,2020-12-16 22:17:02.02,1,demo
Event_0zbbwzq,Order fullfilled,noneEndEvent,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:13:05.05,2020-12-16 22:13:05.05,0,demo
Event_0zbbwzq,Order fullfilled,noneEndEvent,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:06:06.06,2020-12-16 22:06:06.06,0,demo
Event_0zbbwzq,Order fullfilled,noneEndEvent,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:05:51.51,2020-12-15 22:05:51.51,0,demo
Event_0zwffnq,Order cancelled,endEvent,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:00:51.51,2020-12-16 22:00:51.51,0,demo
Event_15dcqch,1 week,boundaryTimer,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:04:20.20,2020-12-16 22:04:20.20,0,demo
Event_15dcqch,1 week,boundaryTimer,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:05:35.35,2020-12-16 22:05:35.35,0,demo
Gateway_002rqdr,Order type?,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:41:59.59,2020-12-15 21:41:59.59,1,demo
Gateway_002rqdr,Order type?,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:16:22.22,2020-12-16 22:16:22.22,0,demo
Gateway_002rqdr,Order type?,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:40.40,2020-12-16 22:12:40.40,1,demo
Gateway_002rqdr,Order type?,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:03:23.23,2020-12-16 22:03:23.23,1,demo
Gateway_002rqdr,Order type?,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:04:44.44,2020-12-15 22:04:44.44,0,demo
Gateway_04o2c59,Exclusive Gateway,exclusiveGateway,2f0f5cb3-37bb-11eb-9653-92effa0cc9b6,NULL,NULL,2020-12-06 13:04:43.43,2020-12-06 13:04:43.43,0,demo
Gateway_0amzeou,Exclusive Gateway,exclusiveGateway,2f0f5cb3-37bb-11eb-9653-92effa0cc9b6,NULL,NULL,2020-12-06 13:04:42.42,2020-12-06 13:04:42.42,1,demo
Gateway_0t03y0x,Exclusive Gateway,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:41:59.59,2020-12-15 21:41:59.59,0,demo
Gateway_0t03y0x,Exclusive Gateway,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:16:22.22,2020-12-16 22:16:22.22,0,demo
Gateway_0t03y0x,Exclusive Gateway,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:40.40,2020-12-16 22:12:40.40,0,demo
Gateway_0t03y0x,Exclusive Gateway,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:03:23.23,2020-12-16 22:03:23.23,0,demo
Gateway_0t03y0x,Exclusive Gateway,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:04:44.44,2020-12-15 22:04:44.44,0,demo
Gateway_12hp2tf,AMBV value?,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:39:55.55,2020-12-15 21:39:55.55,0,demo
Gateway_12hp2tf,AMBV value?,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:15:28.28,2020-12-16 22:15:28.28,3,demo
Gateway_12hp2tf,AMBV value?,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:59.59,2020-12-16 22:11:59.59,0,demo
Gateway_12hp2tf,AMBV value?,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:02:28.28,2020-12-16 22:02:28.28,1,demo
Gateway_12hp2tf,AMBV value?,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:02:15.15,2020-12-15 22:02:15.15,0,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:38:12.12,2020-12-15 21:38:12.12,0,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:14:44.44,2020-12-16 22:14:44.44,0,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:00:32.32,2020-12-16 22:00:32.32,1,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:17.17,2020-12-16 22:11:17.17,1,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:01:34.34,2020-12-16 22:01:34.34,0,demo
Gateway_15n3ex1,Manufacturable ?,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:00:17.17,2020-12-15 22:00:17.17,0,demo
Gateway_1ajw4ec,Exclusive Gateway,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:42:29.29,2020-12-15 21:42:29.29,1,demo
Gateway_1ajw4ec,Exclusive Gateway,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:16:54.54,2020-12-16 22:16:54.54,1,demo
Gateway_1ajw4ec,Exclusive Gateway,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:58.58,2020-12-16 22:12:58.58,0,demo
Gateway_1ajw4ec,Exclusive Gateway,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:05:56.56,2020-12-16 22:05:56.56,0,demo
Gateway_1ajw4ec,Exclusive Gateway,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:05:27.27,2020-12-15 22:05:27.27,1,demo
Gateway_1dcnuv3,"Payment Method?

",exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:41:12.12,2020-12-15 21:41:12.12,1,demo
Gateway_1dcnuv3,"Payment Method?

",exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:16:22.22,2020-12-16 22:16:22.22,0,demo
Gateway_1dcnuv3,"Payment Method?

",exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:40.40,2020-12-16 22:12:40.40,0,demo
Gateway_1dcnuv3,"Payment Method?

",exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:03:15.15,2020-12-16 22:03:15.15,1,demo
Gateway_1dcnuv3,"Payment Method?

",exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:03:59.59,2020-12-15 22:03:59.59,0,demo
Gateway_1h6hu2r,Exclusive Gateway,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:41:12.12,2020-12-15 21:41:12.12,0,demo
Gateway_1h6hu2r,Exclusive Gateway,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:16:22.22,2020-12-16 22:16:22.22,0,demo
Gateway_1h6hu2r,Exclusive Gateway,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:40.40,2020-12-16 22:12:40.40,1,demo
Gateway_1h6hu2r,Exclusive Gateway,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:03:15.15,2020-12-16 22:03:15.15,1,demo
Gateway_1h6hu2r,Exclusive Gateway,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:03:59.59,2020-12-15 22:03:59.59,0,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:07:45.45,2020-12-15 21:07:45.45,0,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:13:18.18,2020-12-16 22:13:18.18,2,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 21:59:12.12,2020-12-16 21:59:12.12,2,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:10:37.37,2020-12-16 22:10:37.37,1,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:01:10.10,2020-12-16 22:01:10.10,0,demo
Gateway_1hf2grb,OrderType?,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:51:05.05,2020-12-15 21:51:05.05,0,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:37:17.17,2020-12-15 21:37:17.17,0,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:14:09.09,2020-12-16 22:14:09.09,0,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 21:59:42.42,2020-12-16 21:59:42.42,1,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:02.02,2020-12-16 22:11:02.02,1,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:01:25.25,2020-12-16 22:01:25.25,0,demo
Gateway_1qkdom8,Exclusive Gateway,exclusiveGateway,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:59:32.32,2020-12-15 21:59:32.32,0,demo
PharmacyBot,Start Pharmacy Bot,startEvent,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:07:25.25,2020-12-15 21:07:25.25,0,demo
PharmacyBot,Start Pharmacy Bot,startEvent,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:13:11.11,2020-12-16 22:13:11.11,1,demo
PharmacyBot,Start Pharmacy Bot,startEvent,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 21:58:57.57,2020-12-16 21:58:57.57,4,demo
PharmacyBot,Start Pharmacy Bot,startEvent,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:07:04.04,2020-12-16 22:07:04.04,1,demo
PharmacyBot,Start Pharmacy Bot,startEvent,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:01:01.01,2020-12-16 22:01:01.01,0,demo
PharmacyBot,Start Pharmacy Bot,startEvent,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:48:45.45,2020-12-15 21:48:45.45,0,demo
